ROOMS,SUBJ,1ST,2ND,3RD,4TH,5TH
103,RM431,I,G,D,A,K
104,RM431,J,H,E,B,L
207,RM431,,,F,C,
CL 79,PHY331,J,G,D,A,M
PHY LAB A,PHY331,K,H,E,B,N
PHY LAB B,PHY331,L,I,F,C,O
201,LAW231,A,M,J,G,D
202,LAW231,B,N,K,H,E
203,LAW231,C,O,L,I,F
204,COM431,G,D,A,K,I
205,COM431,H,E,B,L,J
206,COM431,,F,C,,
207,,,,,,
208,,,,,,
PMAFI,,,,,,
209,WIT431,K,I,G,D,A
CSAFP RM,WIT431,L,J,H,E,B
309,WIT431,,,,F,C
COMP LAB A,,,,,,
COMP LAB B,,,,,,
COMP LAB D,,,,,,
COMP LAB C,IT331,M,J,G,D,A
COMP LAB E,IT331,N,K`,O,E,B
COMP LAB F,IT331,O,L,I,F,C
301,PHI231,D,A,M,J,G
302,PHI231,E,B,N,K,H
303,PHI231,F,C,O,L,I
304,,,,,,
305,,,,,,
306,,,,,,
307,TI331,A,M,J,G,D
308,TI331,B,N,K,H,E
310,TI331,C,O,L,I,F
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
