Class,Shift,Sections,Period,Time,Monday,Tuesday,Wednesday,Thursday,Friday
1CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",1ST,0720-0835,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
1CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",2ND,0845-1000,RES432,SD422,RES432,SD422,RES432
1CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",3RD,1010-1125,HMA432,STSS432,HMA432,STSS432,HMA432
1CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",4TH,1250-1405,ED432,CD432,ED432,CD432,ED432
1CL,1st Shift (21 Sep - 09 Nov 2026),"A, B, C",5TH,1415-1530,,,,,
1CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",1ST,0720-0835,RES432,SD422,RES432,SD422,RES432
1CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",2ND,0845-1000,HMA432,STSS432,HMA432,STSS432,HMA432
1CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",3RD,1010-1125,ED432,CD432,ED432,CD432,ED432
1CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",4TH,1250-1405,,,,,
1CL,1st Shift (21 Sep - 09 Nov 2026),"D, E, F",5TH,1415-1530,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
1CL,1st Shift (21 Sep - 09 Nov 2026),"G, H",1ST,0720-0835,HMA432,STSS432,HMA432,STSS432,HMA432
1CL,1st Shift (21 Sep - 09 Nov 2026),"G, H",2ND,0845-1000,ED432,CD432,ED432,CD432,ED432
1CL,1st Shift (21 Sep - 09 Nov 2026),"G, H",3RD,1010-1125,,,,,
1CL,1st Shift (21 Sep - 09 Nov 2026),"G, H",4TH,1250-1405,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
1CL,1st Shift (21 Sep - 09 Nov 2026),"G, H",5TH,1415-1530,RES432,SD422,RES432,SD422,RES432
1CL,1st Shift (21 Sep - 09 Nov 2026),"I, J",1ST,0720-0835,ED432,CD432,ED432,CD432,ED432
1CL,1st Shift (21 Sep - 09 Nov 2026),"I, J",2ND,0845-1000,,,,,
1CL,1st Shift (21 Sep - 09 Nov 2026),"I, J",3RD,1010-1125,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
1CL,1st Shift (21 Sep - 09 Nov 2026),"I, J",4TH,1250-1405,RES432,SD422,RES432,SD422,RES432
1CL,1st Shift (21 Sep - 09 Nov 2026),"I, J",5TH,1415-1530,HMA432,STSS432,HMA432,STSS432,HMA432
1CL,1st Shift (21 Sep - 09 Nov 2026),"K, L",1ST,0720-0835,,,,,
1CL,1st Shift (21 Sep - 09 Nov 2026),"K, L",2ND,0845-1000,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
1CL,1st Shift (21 Sep - 09 Nov 2026),"K, L",3RD,1010-1125,RES432,SD422,RES432,SD422,RES432
1CL,1st Shift (21 Sep - 09 Nov 2026),"K, L",4TH,1250-1405,HMA432,STSS432,HMA432,STSS432,HMA432
1CL,1st Shift (21 Sep - 09 Nov 2026),"K, L",5TH,1415-1530,ED432,CD432,ED432,CD432,ED432
1CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",1ST,0720-0835,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS
1CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",2ND,0845-1000,SD422,RES432,SD422,RES432,SD422
1CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",3RD,1010-1125,STSS432,HMA432,STSS432,HMA432,STSS432
1CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",4TH,1250-1405,CD432,ED432,CD432,ED432,CD432
1CL,2nd Shift (09 Nov - 09 Jan 2027),"A, B, C",5TH,1415-1530,,,,,
1CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",1ST,0720-0835,SD422,RES432,SD422,RES432,SD422
1CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",2ND,0845-1000,STSS432,HMA432,STSS432,HMA432,STSS432
1CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",3RD,1010-1125,CD432,ED432,CD432,ED432,CD432
1CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",4TH,1250-1405,,,,,
1CL,2nd Shift (09 Nov - 09 Jan 2027),"D, E, F",5TH,1415-1530,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS
1CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H",1ST,0720-0835,STSS432,HMA432,STSS432,HMA432,STSS432
1CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H",2ND,0845-1000,CD432,ED432,CD432,ED432,CD432
1CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H",3RD,1010-1125,,,,,
1CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H",4TH,1250-1405,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS
1CL,2nd Shift (09 Nov - 09 Jan 2027),"G, H",5TH,1415-1530,SD422,RES432,SD422,RES432,SD422
1CL,2nd Shift (09 Nov - 09 Jan 2027),"I, J",1ST,0720-0835,CD432,ED432,CD432,ED432,CD432
1CL,2nd Shift (09 Nov - 09 Jan 2027),"I, J",2ND,0845-1000,,,,,
1CL,2nd Shift (09 Nov - 09 Jan 2027),"I, J",3RD,1010-1125,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS
1CL,2nd Shift (09 Nov - 09 Jan 2027),"I, J",4TH,1250-1405,SD422,RES432,SD422,RES432,SD422
1CL,2nd Shift (09 Nov - 09 Jan 2027),"I, J",5TH,1415-1530,STSS432,HMA432,STSS432,HMA432,STSS432
1CL,2nd Shift (09 Nov - 09 Jan 2027),"K, L",1ST,0720-0835,,,,,
1CL,2nd Shift (09 Nov - 09 Jan 2027),"K, L",2ND,0845-1000,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS
1CL,2nd Shift (09 Nov - 09 Jan 2027),"K, L",3RD,1010-1125,SD422,RES432,SD422,RES432,SD422
1CL,2nd Shift (09 Nov - 09 Jan 2027),"K, L",4TH,1250-1405,STSS432,HMA432,STSS432,HMA432,STSS432
