Section,Period,Time,Monday,Tuesday,Wednesday,Thursday,Friday
"A, B, C",1ST,0720-0835,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
"A, B, C",2ND,0845-1000,RES432,SD422,RES432,SD422,RES432
"A, B, C",3RD,1010-1125,HMA432,STSS432,HMA432,STSS432,HMA432
"A, B, C",4TH,1250-1405,ED432,CD432,ED432,CD432,ED432
"A, B, C",5TH,1415-1530,,,,,
"D, E, F",1ST,0720-0835,RES432,SD422,RES432,SD422,RES432
"D, E, F",2ND,0845-1000,HMA432,STSS432,HMA432,STSS432,HMA432
"D, E, F",3RD,1010-1125,ED432,CD432,ED432,CD432,ED432
"D, E, F",4TH,1250-1405,,,,,
"D, E, F",5TH,1415-1530,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
"G, H",1ST,0720-0835,HMA432,STSS432,HMA432,STSS432,HMA432
"G, H",2ND,0845-1000,ED432,CD432,ED432,CD432,ED432
"G, H",3RD,1010-1125,,,,,
"G, H",4TH,1250-1405,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
"G, H",5TH,1415-1530,RES432,SD422,RES432,SD422,RES432
"I, J",1ST,0720-0835,ED432,CD432,ED432,CD432,ED432
"I, J",2ND,0845-1000,,,,,
"I, J",3RD,1010-1125,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
"I, J",4TH,1250-1405,RES432,SD422,RES432,SD422,RES432
"I, J",5TH,1415-1530,HMA432,STSS432,HMA432,STSS432,HMA432
"K, L",1ST,0720-0835,,,,,
"K, L",2ND,0845-1000,LAW432,AS/AFS/NS,LAW432,AS/AFS/NS,LAW432
"K, L",3RD,1010-1125,RES432,SD422,RES432,SD422,RES432
"K, L",4TH,1250-1405,HMA432,STSS432,HMA432,STSS432,HMA432
"K, L",5TH,1415-1530,ED432,CD432,ED432,CD432,ED432
