# HEADQUARTERS, ACADEMIC GROUP, PHILIPPINE MILITARY ACADEMY
# Fort General Gregorio H Del Pilar, Baguio City
# Class Schedule for the Second Class (2CL) Cadets
# 2nd Term, Academic Year 2025 – 2026
# 21 October – 21 November 2025 (2nd Shift)
#

Section Group,Period,Time,Monday (M),Tuesday (T),Wednesday (W),Thursday (TH),Friday (F)
A B C,1ST,0800-0910,ARD332,ES332,ARD332,ES332,ARD332
A B C,2ND,0920-1030,SD322/PD312,STIT332,SD322/PD312,STIT332,SD322/PD312
A B C,3RD,1040-1150,ENGG352,ENGG352,ENGG352,ENGG352,ENGG352
A B C,4TH,1310-1420,LDM332,TE332,LDM332,TE332,LDM332
A B C,5TH,1430-1540,RES332,AS/AFS/NS,RES332,AS/AFS/NS,RES332
D E F,1ST,0800-0910,SD322/PD312,STIT332,SD322/PD312,STIT332,SD322/PD312
D E F,2ND,0920-1030,ENGG352,ENGG352,ENGG352,ENGG352,ENGG352
D E F,3RD,1040-1150,LDM332,TE332,LDM332,TE332,LDM332
D E F,4TH,1310-1420,RES332,AS/AFS/NS,RES332,AS/AFS/NS,RES332
D E F,5TH,1430-1540,ARD332,ES332,ARD332,ES332,ARD332
G H,1ST,0800-0910,ENGG352,ENGG352,ENGG352,ENGG352,ENGG352
G H,2ND,0920-1030,LDM332,TE332,LDM332,TE332,LDM332
G H,3RD,1040-1150,RES332,AS/AFS/NS,RES332,AS/AFS/NS,RES332
G H,4TH,1310-1420,ARD332,ES332,ARD332,ES332,ARD332
G H,5TH,1430-1540,SD322/PD312,STIT332,SD322/PD312,STIT332,SD322/PD312
I J,1ST,0800-0910,LDM332,TE332,LDM332,TE332,LDM332
I J,2ND,0920-1030,RES332,AS/AFS/NS,RES332,AS/AFS/NS,RES332
I J,3RD,1040-1150,ARD332,ES332,ARD332,ES332,ARD332
I J,4TH,1310-1420,SD322/PD312,STIT332,SD322/PD312,STIT332,SD322/PD312
I J,5TH,1430-1540,ENGG352,ENGG352,ENGG352,ENGG352,ENGG352
K L,1ST,0800-0910,RES332,AS/AFS/NS,RES332,AS/AFS/NS,RES332
K L,2ND,0920-1030,ARD332,ES332,ARD332,ES332,ARD332
K L,3RD,1040-1150,SD322/PD312,STIT332,SD322/PD312,STIT332,SD322/PD312
K L,4TH,1310-1420,ENGG352,ENGG352,ENGG352,ENGG352,ENGG352
K L,5TH,1430-1540,LDM332,TE332,LDM332,TE332,LDM332
